词语	强度	极性
涕零如雨	strongsubj	negative
寻死觅活	strongsubj	negative
食不果腹	strongsubj	negative
酩酊大醉	strongsubj	negative
行成于思	strongsubj	negative
睹物思人	strongsubj	negative
人亡物在	strongsubj	negative
不堪回首	strongsubj	negative
南柯一梦	strongsubj	negative
当断不断，反受其乱	strongsubj	negative
巧妇难无火之炊	strongsubj	negative
无从措手	strongsubj	negative
不堪其忧	strongsubj	negative
废书而叹	strongsubj	negative
不知高低	strongsubj	negative
将信将疑	strongsubj	negative
感情用事	strongsubj	negative
说笑自若	strongsubj	positive
一块石头落了地	strongsubj	positive
高抬贵手	midsubj	negative
大梦初醒	strongsubj	positive
了如指掌	strongsubj	positive
不期而然	strongsubj	negative
高枕而卧	strongsubj	positive
眉开跟笑	strongsubj	positive
喜跃抃舞	strongsubj	positive
陶情适性	strongsubj	positive
意气扬扬	strongsubj	positive
一朝之忿	strongsubj	negative
怨气满腹	strongsubj	negative
无肠可断	strongsubj	negative
黯然伤神	strongsubj	negative
热泪盈眶	strongsubj	negative
保不定	midsubj	positive
保重	strongsubj	positive
抱粗腿	strongsubj	negative
暴君政治	midsubj	negative
备不住	strongsubj	negative
被告	midsubj	negative
奔袭	midsubj	positive
崩症	strongsubj	negative
比肩	midsubj	positive
必须	strongsubj	positive
辟谣	strongsubj	negative
避忌	strongsubj	negative
鞭笞	midsubj	negative
东横西倒	midsubj	negative
冬温夏凊	strongsubj	positive
洞幽烛远	strongsubj	positive
斗酒百篇	strongsubj	positive
毒蛇猛兽	strongsubj	negative
独行独断	midsubj	negative
睹著知微	midsubj	positive
杜断房谋	strongsubj	positive
断金零粉	midsubj	0
对牛鼓簧	midsubj	negative
顿足捩耳	midsubj	0
多一事不如少一事	weaksubj	negative
多情多义	midsubj	positive
阿世媚俗	midsubj	negative
额手相庆	midsubj	0
恶贯已盈	strongsubj	negative
噩噩浑浑	midsubj	positive
发上冲冠	strongsubj	0
翻黄倒皁	midsubj	negative
反裘负薪	midsubj	negative
饭囊酒甕	midsubj	negative
防不胜防	midsubj	0
放僻淫佚	strongsubj	negative
飞蛾赴焰	midsubj	0
飞鸾翔凤	strongsubj	positive
废寝忘餐	midsubj	positive
分星拨两	midsubj	negative
焚尸扬灰	strongsubj	0
焚香膜拜	strongsubj	0
奋发踔厉	strongsubj	positive
丰功厚利	strongsubj	positive
风言影语	weaksubj	negative
风雨飘零	weaksubj	0
风月无涯	strongsubj	positive
核讹诈政策	midsubj	negative
黑不溜秋	weaksubj	negative
红不棱登	weaksubj	negative
后起	midsubj	positive
胡搅	midsubj	negative
花不棱登	weaksubj	negative
低廉	weaksubj	positive
敌情	weaksubj	0
嫡亲	midsubj	positive
抵掌	strongsubj	positive
地下党	strongsubj	positive
调情	midsubj	negative
良人	midsubj	positive
亮光光	midsubj	0
劣种	midsubj	negative
流丽	midsubj	positive
六尺之孤	midsubj	0
误伤	midsubj	0
西天	midsubj	0
惜力	weaksubj	0
洗耻	weaksubj	0
喜酒	weaksubj	0
喜雨	midsubj	0
细活	weaksubj	0
下策	weaksubj	0
下水	weaksubj	0
仙子	midsubj	positive
纤小	weaksubj	0
闲荡	weaksubj	0
闲书	weaksubj	0
涎着脸	midsubj	negative
显学	weaksubj	0
险情	weaksubj	0
现行	weaksubj	negative
润资	weaksubj	positive
撒手锏	strongsubj	positive
散伙	midsubj	negative
丧家	strongsubj	negative
扫荡	strongsubj	negative
嫂子	weaksubj	positive
沙文主义	midsubj	negative
芟荑	midsubj	negative
善感	weaksubj	positive
擅长	weaksubj	positive
伤逝	midsubj	negative
商约	midsubj	positive
赏钱	weaksubj	positive
上吊	strongsubj	negative
上缴	weaksubj	positive
上刑	midsubj	negative
抛掷	midsubj	0
跑车	midsubj	0
跑龙套	strongsubj	negative
泡货	midsubj	0
陪房	midsubj	0
赔垫	midsubj	0
喷薄	midsubj	0
捧场	strongsubj	negative
批判	strongsubj	0
劈脸	strongsubj	negative
疲癃	strongsubj	0
屁股蹲儿	midsubj	0
偏离	midsubj	0
偏远	midsubj	0
飘舞	strongsubj	0
撇嘴	strongsubj	0
贫民	midsubj	0
聘问	strongsubj	0
平靖	strongsubj	0
平权	midsubj	0
平衍	strongsubj	positive
凭险	midsubj	0
屏气	strongsubj	0
烈火烹油	strongsubj	negative
林下风韵	strongsubj	positive
麟角虎翅	strongsubj	positive
玲珑透漏	strongsubj	positive
凛若秋霜	midsubj	negative
另辟蹊径	weaksubj	0
流水不腐，户枢不蠹	weaksubj	positive
流言混话	strongsubj	negative
流连忘反	strongsubj	positive
流离转徙	midsubj	positive
柳门竹巷	midsubj	positive
柳暖花春	strongsubj	positive
柳影花阴	midsubj	positive
六神不安	strongsubj	negative
六街三市	midsubj	positive
龙去鼎湖	strongsubj	positive
龙威燕颔	strongsubj	positive
龙飞凤翔	midsubj	positive
龙章秀骨	strongsubj	positive
龙翔凤翥	strongsubj	positive
龙德在田	weaksubj	positive
龙翰凤雏	strongsubj	positive
龙蛰蠖屈	midsubj	positive
龙腾虎踞	midsubj	positive
龙骧虎步	strongsubj	positive
镂心呕血	weaksubj	positive
镂金错采	weaksubj	positive
卤莽灭裂	strongsubj	negative
鲁鱼陶阴	weaksubj	negative
陆离斑驳	weaksubj	positive
鹿裘不完	weaksubj	positive
路无拾遗	strongsubj	positive
露影藏形	midsubj	negative
鸾交凤友	weaksubj	positive
鸾飞凤舞	weaksubj	positive
鸾俦凤侣	strongsubj	positive
乱作胡为	strongsubj	negative
论高寡合	midsubj	negative
攞袖揎拳	midsubj	negative
驴鸣犬吠	strongsubj	negative
屡次三番	weaksubj	negative
履霜之戒	strongsubj	negative
马上得天下	weaksubj	positive
马角乌头	midsubj	negative
马瘦毛长	weaksubj	negative
买笑追欢	strongsubj	negative
麦秀两歧	strongsubj	positive
卖兒鬻女	strongsubj	negative
卖富差贫	strongsubj	negative
谩辞譁说	midsubj	negative
满座风生	strongsubj	positive
慢腾斯礼	weaksubj	0
忙中有失	strongsubj	negative
毛骨竦然	strongsubj	negative
贸首之雠	strongsubj	negative
没世无闻	strongsubj	positive
没法奈何	midsubj	negative
没头没脸	midsubj	negative
门可张罗	strongsubj	negative
门殚户尽	strongsubj	negative
梦想颠倒	strongsubj	negative
迷金醉纸	strongsubj	negative
迷离惝恍	midsubj	negative
胡行乱为	strongsubj	negative
胡猜乱想	midsubj	negative
胡诌乱说	midsubj	negative
鹘仑吞枣	midsubj	negative
哗世取宠	strongsubj	negative
化腐为奇	strongsubj	positive
怀珠抱玉	strongsubj	positive
淮王鸡狗	midsubj	negative
还珠返璧	midsubj	0
涣若冰释	strongsubj	positive
黄人捧日	strongsubj	positive
黄钟大吕	strongsubj	positive
灰心短气	midsubj	0
灰躯糜骨	strongsubj	0
辉光日新	strongsubj	positive
回光反照	midsubj	negative
回乾就湿	strongsubj	positive
毁方瓦合	midsubj	0
诲人不惓	strongsubj	positive
昏昏噩噩	midsubj	0
浑然天成	strongsubj	positive
混水摸鱼	midsubj	negative
魂飞魄飏	strongsubj	0
魂消魄丧	strongsubj	0
魂惭色褫	strongsubj	0
魂惊胆落	strongsubj	0
活蹦活跳	midsubj	positive
火冒三尺	strongsubj	0
获陇望蜀	strongsubj	0
祸结兵连	strongsubj	0
击排冒没	midsubj	negative
饥馑荐臻	strongsubj	0
机关用尽	strongsubj	negative
鸡犬不安	strongsubj	0
鸡飞狗叫	strongsubj	negative
激薄停浇	midsubj	positive
极武穷兵	midsubj	negative
即温听厉	midsubj	0
急管繁弦	midsubj	0
戟指嚼舌	strongsubj	0
计行言听	strongsubj	positive
计穷虑极	strongsubj	0
寄颜无所	strongsubj	0
佳儿佳妇	midsubj	0
家翻宅乱	midsubj	0
颊上三毫	midsubj	positive
驾鹤西游	strongsubj	0
坚额健舌	midsubj	negative
孤立无助	strongsubj	negative
孤兒寡妇	strongsubj	negative
孤俦寡匹	midsubj	negative
谷贱伤农	midsubj	negative
骨瘦形销	strongsubj	negative
鼓脣咋舌	midsubj	negative
鼓舞欢忻	strongsubj	positive
故弄虚玄	midsubj	negative
顾小失大	midsubj	negative
顾盼神飞	strongsubj	positive
刮垢磨光	midsubj	negative
挂灯结彩	strongsubj	positive
关门打狗	midsubj	positive
官偪民反	strongsubj	negative
鳏鱼渴凤	strongsubj	positive
贯盈恶稔	strongsubj	negative
光彩陆离	midsubj	positive
广开言路	midsubj	positive
归真反朴	midsubj	positive
龟龄鹤算	strongsubj	positive
规贤矩圣	midsubj	positive
诡言浮说	midsubj	negative
鬼泣神号	strongsubj	negative
鬼哭天愁	strongsubj	negative
鬼哭狼嗥	strongsubj	negative
鬼瞰高明	midsubj	negative
贵古贱今	midsubj	negative
桂折兰摧	strongsubj	0
刿目鉥心	strongsubj	positive
果熟蒂落	midsubj	positive
过屠门而大嚼	midsubj	0
海桑陵谷	midsubj	0
骇人视听	strongsubj	negative
骇龙走蛇	midsubj	0
邯郸学步	midsubj	negative
含辛忍苦	strongsubj	positive
含垢纳汙	strongsubj	positive
含章挺生	strongsubj	positive
韩信用兵，多多益办	midsubj	0
寒心消志	midsubj	negative
汗牛充栋	strongsubj	positive
汗流洽衣	strongsubj	0
毫釐千里	strongsubj	negative
好模好样	midsubj	positive
好谋善断	midsubj	positive
昊天不吊	midsubj	0
合胆同心	midsubj	positive
和衷共济	midsubj	positive
河沙世界	midsubj	positive
河清人寿	strongsubj	positive
河溓海夷	midsubj	positive
鹤骨松姿	midsubj	positive
鹤唳猿声	strongsubj	0
黑地昏天	strongsubj	negative
横三竖四	midsubj	negative
横挑鼻子竖挑眼	midsubj	negative
横冲直闯	midsubj	negative
横祸飞灾	midsubj	negative
衡石程书	midsubj	positive
宏才大略	strongsubj	positive
闳识孤怀	strongsubj	positive
鸿飞雪爪	midsubj	0
鸿鳦满纸	midsubj	negative
鸿篇钜制	strongsubj	positive
侯门似海	midsubj	negative
厚味腊毒	strongsubj	negative
呼牛作马	strongsubj	negative
狐兔之悲	strongsubj	negative
狐裘蒙茸	midsubj	negative
胡天胡地	strongsubj	positive
师表	midsubj	positive
师兄	midsubj	positive
施诊	midsubj	positive
识荆	midsubj	positive
实证主义	midsubj	negative
世界主义	midsubj	positive
事务主义	midsubj	negative
适时	midsubj	positive
誓愿	strongsubj	positive
交际花	strongsubj	negative
娇娃	strongsubj	positive
角弓反张	midsubj	0
脚气病	strongsubj	0
教条主义	strongsubj	negative
接气	midsubj	0
揭批	strongsubj	0
劫狱	midsubj	0
结缘	midsubj	0
竭诚	midsubj	0
解劝	strongsubj	0
戒条	strongsubj	0
金链	strongsubj	positive
津津	strongsubj	positive
伪君子	strongsubj	negative
委婉	midsubj	positive
畏友	midsubj	0
文玩	midsubj	0
问号	midsubj	0
呜呼	midsubj	0
无量	strongsubj	positive
投閒置散	strongsubj	0
徒讬空言	midsubj	negative
涂歌里抃	strongsubj	positive
土阶茅茨	strongsubj	positive
吐食握发	strongsubj	positive
兔走鹘落	strongsubj	positive
抟沙作饭	strongsubj	0
推己及物	strongsubj	positive
推梨让枣	strongsubj	positive
颓垣败井	strongsubj	negative
退旅进旅	strongsubj	positive
吞风饮雨	strongsubj	negative
屯街塞巷	midsubj	negative
讬诸空言	midsubj	negative
脱手弹丸	strongsubj	positive
唾壶击缺	strongsubj	negative
瓦解冰泮	strongsubj	negative
歪打正着	strongsubj	negative
外厉内荏	strongsubj	negative
剜肉生疮	strongsubj	negative
玩日愒时	strongsubj	negative
顽父嚚母	strongsubj	negative
亡不旋踵	strongsubj	negative
亡国之器	strongsubj	negative
王公大人	strongsubj	positive
枉尺直寻	strongsubj	negative
枉费心力	strongsubj	negative
忘生舍死	strongsubj	positive
望子成龙	strongsubj	positive
望风而靡	strongsubj	negative
望梅止渴	strongsubj	positive
望尘追迹	strongsubj	positive
危言高论	strongsubj	positive
威风扫地	strongsubj	negative
煨乾避湿	strongsubj	positive
为蛇添足	strongsubj	negative
为人作嫁	strongsubj	negative
为丛驱雀	strongsubj	negative
违利赴名	strongsubj	positive
围城打援	strongsubj	positive
帷薄不修	strongsubj	negative
惟日为岁	strongsubj	negative
嵬眼澒耳	strongsubj	positive
未成一篑	strongsubj	negative
未达一间	strongsubj	negative
偎慵堕懒	strongsubj	negative
温枕扇席	strongsubj	positive
文人无行	strongsubj	positive
文身断发	strongsubj	negative
文昭武穆	strongsubj	positive
文搜丁甲	strongsubj	positive
文献之家	strongsubj	positive
闻所未闻	strongsubj	positive
闻风响应	strongsubj	positive
问舍求田	strongsubj	negative
汶阳田反	strongsubj	positive
我醉欲眠	strongsubj	positive
握拳透掌	strongsubj	negative
乌集之交	strongsubj	negative
屋上乌	strongsubj	positive
无了无休	strongsubj	negative
无以塞责	strongsubj	positive
无可比象	strongsubj	positive
无名之朴	strongsubj	positive
无形之罪	strongsubj	negative
无拘无碍	strongsubj	positive
无所不及	strongsubj	positive
无所回避	strongsubj	positive
无所措手	strongsubj	negative
无故呻吟	strongsubj	negative
无计奈何	strongsubj	negative
无师自通	strongsubj	positive
无胫而走	strongsubj	positive
无为而治	strongsubj	positive
铁腕	midsubj	negative
停业	midsubj	negative
通明	weaksubj	positive
捅娄子	strongsubj	negative
头等	midsubj	positive
头油	strongsubj	positive
土包子	strongsubj	negative
土司制度	strongsubj	negative
推脱	strongsubj	positive
腿子	strongsubj	negative
火急	midsubj	0
亟亟	midsubj	0
疾苦	midsubj	0
憨笑	weaksubj	0
喝倒彩	midsubj	0
和稀泥	weaksubj	0
十生九死	midsubj	negative
十雨五风	midsubj	positive
十载寒窗	midsubj	positive
识文谈字	midsubj	positive
识微见远	midsubj	positive
拾带重还	midsubj	positive
食不重味	midsubj	positive
食甘寝安	midsubj	positive
豕分蛇断	midsubj	negative
使性傍气	midsubj	negative
屎流屁滚	midsubj	negative
势穷力屈	midsubj	negative
饰垢掩疵	midsubj	negative
视死如生	midsubj	positive
视同秦越	midsubj	negative
视微知著	midsubj	positive
逝者如斯	midsubj	negative
誓同生死	midsubj	positive
適性忘虑	midsubj	positive
手不释书	midsubj	positive
手脚无措	midsubj	negative
首善之区	midsubj	positive
书香人家	midsubj	positive
输肝剖胆	midsubj	positive
鼠心狼肺	midsubj	negative
鼠雀之牙	midsubj	negative
鼠窜狗盗	midsubj	negative
数黑论黄	midsubj	negative
束手无措	midsubj	negative
束修自好	midsubj	positive
树倒根摧	midsubj	negative
鉥肝刿肾	midsubj	positive
霜露之感	midsubj	negative
水火不避	midsubj	positive
水佩风裳	midsubj	positive
顺天从人	midsubj	positive
顺风扯帆	midsubj	positive
说白道绿	midsubj	negative
司马昭之心	midsubj	negative
死有余罪	midsubj	negative
死告活央	midsubj	negative
死诸葛能走生仲达	midsubj	positive
四通八达	midsubj	positive
怠慢	midsubj	negative
捣乱	midsubj	negative
得罪	midsubj	negative
便秘	midsubj	negative
变乱	weaksubj	negative
变性	midsubj	negative
辩护士	midsubj	positive
婊子	strongsubj	negative
濒危	strongsubj	negative
殡葬	midsubj	negative
兵火	midsubj	negative
饼子	midsubj	positive
病毒	midsubj	negative
病号	weaksubj	negative
病原虫	midsubj	negative
波尔卡	strongsubj	positive
伯祖母	midsubj	positive
搏斗	midsubj	negative
补情	strongsubj	positive
不错眼	strongsubj	positive
不顾	midsubj	positive
不克	weaksubj	negative
不佞	midsubj	negative
不失为	midsubj	positive
不韪	strongsubj	negative
不行	strongsubj	negative
献计	weaksubj	0
乡愿	midsubj	negative
相投	weaksubj	0
享福	midsubj	0
想儿	midsubj	0
象话	midsubj	0
消极浪漫主义	weaksubj	0
消夏	weaksubj	0
小道儿消息	weaksubj	0
小绺	weaksubj	negative
小算盘	weaksubj	0
笑脸	midsubj	0
歇斯底里	midsubj	0
谐戏	midsubj	0
少艾	midsubj	positive
舍亲	weaksubj	positive
申雪	strongsubj	negative
身手	weaksubj	positive
深造	weaksubj	positive
神物	midsubj	positive
渗入	weaksubj	negative
生变	midsubj	negative
生息	weaksubj	positive
胜利果实	weaksubj	positive
失欢	midsubj	negative
失恋	strongsubj	negative
失去	midsubj	negative
失守	midsubj	negative
绝代	strongsubj	0
骏马	strongsubj	positive
恺悌	midsubj	positive
割席	strongsubj	0
孤哀子	weaksubj	0
交心	midsubj	0
胶着	weaksubj	0
绞手	strongsubj	negative
剿灭	midsubj	positive
阶级观点	strongsubj	positive
揭穿	strongsubj	0
节节	midsubj	positive
结仇	strongsubj	0
桀黠	strongsubj	negative
竭力	midsubj	0
解脱	strongsubj	0
借口	midsubj	negative
金融寡头	strongsubj	0
闹哄	midsubj	negative
泥腿	midsubj	negative
蝇蝇	midsubj	negative
优遇	midsubj	positive
悠缪	strongsubj	negative
游侠	strongsubj	positive
右派	strongsubj	negative
余孽	strongsubj	negative
窳劣	strongsubj	negative
畅谈	midsubj	positive
唱反调	strongsubj	negative
超经济剥削	midsubj	negative
朝贡	midsubj	positive
称谢	midsubj	positive
惩办	strongsubj	negative
吃不上	strongsubj	negative
吃教	midsubj	negative
持家	midsubj	positive
笔伐口诛	midsubj	0
壁间蛇影	midsubj	positive
辩口利辞	midsubj	positive
标新竞异	midsubj	positive
别开蹊径	midsubj	positive
冰寒於水	midsubj	positive
兵销革偃	midsubj	positive
并疆兼巷	midsubj	positive
播糠眯目	midsubj	negative
博览五车	midsubj	positive
不刊之论	midsubj	positive
不伏烧埋	midsubj	negative
不直一钱	midsubj	negative
不知就里	midsubj	negative
不染一尘	midsubj	positive
不爽毫发	midsubj	positive
不复堪命	strongsubj	0
不经之说	midsubj	negative
不晓世务	midsubj	negative
不避汤火	midsubj	negative
不识东家	midsubj	negative
布帆无恙	midsubj	0
材士练兵	midsubj	positive
材剧志大	midsubj	0
彩云易散	midsubj	0
操之过切	midsubj	negative
差彊人意	midsubj	0
谗口铄金	midsubj	negative
倡情冶思	midsubj	negative
长枕大衾	midsubj	0
长歌当哭	midsubj	0
远怀近集	weaksubj	positive
月地云阶	midsubj	0
岳岳荦荦	midsubj	positive
云心水性	midsubj	negative
云过天空	midsubj	positive
云开雾散	midsubj	0
陨雹飞霜	midsubj	0
再衰三涸	midsubj	0
赃官污吏	midsubj	negative
澡垢索疵	weaksubj	negative
躁言丑句	midsubj	negative
贼眉贼眼	midsubj	negative
诈奸不及	strongsubj	negative
詹言曲说	weaksubj	negative
辗转反侧	midsubj	0
张公吃酒李公颠	midsubj	positive
招是生非	midsubj	negative
朝生暮死	midsubj	0
遮三瞒四	weaksubj	negative
真独简贵	midsubj	positive
震古铄今	midsubj	positive
正大堂煌	midsubj	positive
政以贿成	midsubj	negative
执文害意	midsubj	negative
直言正色	midsubj	positive
植党自私	midsubj	negative
指皁为白	midsubj	negative
指亲托故	midsubj	negative
面若死灰	midsubj	0
妙算神机	midsubj	positive
民富国彊	strongsubj	positive
明公正道	strongsubj	positive
明来暗往	midsubj	negative
鸣鹤之应	midsubj	positive
摩顶放踵	strongsubj	positive
磨砻砥砺	strongsubj	0
目牛无全	midsubj	positive
目眩神摇	midsubj	0
目乱睛迷	midsubj	0
目瞪舌挢	midsubj	0
拿三搬四	strongsubj	negative
难分难解	strongsubj	positive
能伸能屈	midsubj	positive
泥猪瓦狗	midsubj	negative
逆道乱常	strongsubj	negative
鸟哭猿啼	strongsubj	negative
尿流屁滚	strongsubj	negative
牛角书生	midsubj	positive
驽马恋栈豆	midsubj	negative
拍马溜须	midsubj	negative
旁门外道	strongsubj	negative
狮子大开口	midsubj	negative
十年磨剑	midsubj	positive
十病九痛	midsubj	negative
时来运转	midsubj	positive
识时达变	midsubj	positive
拾人唾涕	midsubj	negative
食不充肠	midsubj	negative
食不遑味	midsubj	negative
食鱼遇鯖	midsubj	positive
使心彆气	midsubj	negative
使贤任能	midsubj	positive
事捷功倍	midsubj	positive
饰非掩过	midsubj	negative
视下如伤	midsubj	positive
视同兒戏	midsubj	negative
视为兒戏	midsubj	negative
室如悬罄	midsubj	negative
誓死不屈	midsubj	positive
適如其分	midsubj	positive
適情任欲	midsubj	negative
手高眼低	midsubj	negative
守阙抱残	midsubj	negative
兽困则噬	midsubj	negative
疏财重义	midsubj	positive
熟路轻辙	midsubj	positive
鼠肚鸡肠	midsubj	negative
鼠腹鸡肠	midsubj	negative
鼠首偾事	midsubj	negative
束手待死	midsubj	negative
束手就毙	midsubj	negative
束椽为柱	midsubj	negative
霜凋夏绿	midsubj	negative
水中捉月	midsubj	negative
水来土掩	midsubj	positive
水尽山穷	midsubj	positive
顺我者昌，逆我者亡	midsubj	negative
说一是一，说二是二	midsubj	positive
说黄道黑	midsubj	negative
死中求生	midsubj	positive
死求白赖	midsubj	negative
死里求生	midsubj	positive
四海昇平	midsubj	positive
孤行一意	strongsubj	negative
孤恩负义	strongsubj	negative
孤悬客寄	midsubj	negative
骨肉相残	strongsubj	negative
鼓舌掀簧	midsubj	negative
鼓睛暴眼	strongsubj	negative
鼓乐齐鸣	strongsubj	positive
故作玄虚	midsubj	negative
顾而言他	midsubj	negative
顾影弄姿	midsubj	negative
寡二少双	midsubj	0
怪形怪状	midsubj	negative
观隅反三	midsubj	positive
冠上加冠	midsubj	negative
贯斗双龙	strongsubj	positive
光车骏马	midsubj	positive
光焰万丈	strongsubj	positive
归十归一	midsubj	positive
规行矩止	midsubj	negative
瑰意奇行	strongsubj	positive
鬼工雷斧	strongsubj	positive
鬼泣神嚎	strongsubj	negative
鬼哭神嚎	strongsubj	negative
鬼蜮伎俩	strongsubj	negative
贵人多忘事	midsubj	negative
贵远鄙近	midsubj	negative
刿心怵目	strongsubj	0
国耳忘家	strongsubj	positive
过府冲州	midsubj	0
咳声叹气	midsubj	negative
海盟山咒	strongsubj	positive
骇心动目	strongsubj	negative
酣歌醉舞	midsubj	negative
含仁怀义	strongsubj	positive
含垢包羞	strongsubj	positive
含宫咀徵	midsubj	positive
含瑕积垢	midsubj	positive
韩寿分香	midsubj	negative
寒泉之思	strongsubj	positive
汗青头白	midsubj	0
汗流浃踵	strongsubj	0
好天良夜	strongsubj	positive
好色之徒	strongsubj	negative
豪竹哀丝	midsubj	0
浩浩汤汤	strongsubj	0
河山之德	strongsubj	positive
河东狮子	midsubj	negative
河清海晏	midsubj	positive
涸鱼得水	midsubj	positive
鹤骨鸡肤	midsubj	0
鹤鸣之士	midsubj	positive
黑漆皮灯	midsubj	negative
横行直撞	midsubj	negative
横眉吐气	strongsubj	positive
横从穿贯	midsubj	positive
横殃飞祸	strongsubj	negative
横赋暴敛	strongsubj	negative
轰天烈地	strongsubj	positive
闳言高论	midsubj	positive
鸿爪春泥	midsubj	positive
鸿轩凤翥	strongsubj	positive
鸿图华构	midsubj	positive
鸿隐凤伏	midsubj	negative
后浪催前浪	midsubj	positive
呼天叫地	strongsubj	negative
狐不二雄	strongsubj	negative
狐唱枭和	midsubj	negative
狐鸣鱼书	midsubj	negative
户天胡帝	strongsubj	negative
师父	midsubj	positive
诗篇	midsubj	positive
十七勇士	midsubj	positive
实地	midsubj	positive
矢口	midsubj	negative
示范	midsubj	positive
试看	midsubj	positive
逝世	strongsubj	positive
收拢	midsubj	negative
胡言乱道	midsubj	negative
胡说白道	midsubj	negative
鹄面鸠形	midsubj	0
怙过不悛	strongsubj	negative
化日光天	strongsubj	positive
话长说短	midsubj	negative
怀银纡紫	midsubj	positive
欢忭鼓舞	strongsubj	positive
还醇返朴	midsubj	0
焕然如新	midsubj	positive
黄金世界	midsubj	positive
黄发兒齿	midsubj	0
黄齑白饭	midsubj	0
灰身灭智	strongsubj	0
挥日阳戈	strongsubj	positive
隳肝尝胆	strongsubj	positive
回船转舵	midsubj	0
悔其少作	midsubj	0
毁家纾国	strongsubj	positive
诲尔谆谆，听我藐藐	midsubj	negative
昏头晕脑	midsubj	0
浑浑沌沌	midsubj	negative
魂亡胆落	strongsubj	0
魂飞目断	strongsubj	positive
魂飞胆落	strongsubj	0
魂丧神夺	strongsubj	0
魂颠梦倒	strongsubj	0
活形活现	strongsubj	0
火上弄冰	midsubj	0
火龙黼黻	midsubj	0
祸在旦夕	strongsubj	0
惑世诬民	strongsubj	0
击碎唾壶	strongsubj	positive
饥寒交至	midsubj	0
肌劈理解	midsubj	positive
鸡犬昇天	strongsubj	negative
鸡肠狗肚	strongsubj	negative
及宾有鱼	midsubj	negative
极情尽致	strongsubj	positive
急功近名	midsubj	negative
棘地荆天	strongsubj	0
计日而俟	strongsubj	0
计无所施	midsubj	0
际遇风云	midsubj	positive
骥子龙文	strongsubj	positive
家破人离	strongsubj	0
嘉言善状	midsubj	positive
假虎张威	midsubj	negative
架海金樑	strongsubj	positive
兼葭秋水	strongsubj	0
哈巴狗	strongsubj	negative
好好先生	weaksubj	negative
合家欢	weaksubj	0
活地狱	midsubj	negative
火头	midsubj	0
急忙	midsubj	0
冬日可爱	midsubj	positive
白头偕老	midsubj	positive
花好月圆	midsubj	positive
张敞画眉	midsubj	positive
荡析离居	midsubj	negative
草行露宿	midsubj	negative
吹箫乞食	midsubj	negative
吃着不尽	midsubj	positive
眉睫之祸	midsubj	negative
科头跣足	midsubj	negative
巴巴	midsubj	0
把头	midsubj	negative
罢免	midsubj	negative
摆设	midsubj	0
拜把子	midsubj	positive
拜扫	midsubj	positive
班师	midsubj	positive
邦交	midsubj	0
绑架	midsubj	negative
包管	midsubj	0
图作不轨	strongsubj	negative
途途是道	strongsubj	positive
吐心吐胆	strongsubj	positive
吐胆倾心	strongsubj	positive
兔葵燕麦	strongsubj	0
抟心壹志	strongsubj	positive
推食解衣	strongsubj	positive
推燥居湿	strongsubj	positive
吞舟漏网	strongsubj	negative
吞声饮恨	strongsubj	negative
讬公报私	strongsubj	negative
拖金委紫	strongsubj	positive
唾地成文	strongsubj	positive
挖肉补疮	strongsubj	negative
歪八竖八	strongsubj	negative
外简内明	strongsubj	positive
刓方为圆	strongsubj	negative
玩岁愒日	strongsubj	negative
晚节不终	strongsubj	negative
亡国之社	strongsubj	negative
亡猿灾木	strongsubj	negative
枉口诳舌	strongsubj	negative
枉突徙薪	strongsubj	negative
枉矫过激	strongsubj	negative
忘情负义	strongsubj	negative
望岫息心	strongsubj	negative
望洋而叹	strongsubj	negative
望尘奔北	strongsubj	negative
望断白云	strongsubj	positive
威刑肃物	strongsubj	negative
微察秋毫	strongsubj	positive
为法自弊	strongsubj	negative
为裘为箕	midsubj	positive
为渊驱鱼，为丛驱爵	strongsubj	negative
违世乖俗	strongsubj	positive
违害就利	strongsubj	negative
唯所欲为	strongsubj	negative
惟力是视	strongsubj	positive
惟所欲为	strongsubj	negative
委委佗佗	strongsubj	positive
未风先雨	strongsubj	negative
味如嚼蜡	strongsubj	negative
魏鹊无枝	strongsubj	negative
温席扇枕	strongsubj	positive
文弛武玩	strongsubj	positive
文治武力	strongsubj	positive
文过其实	strongsubj	negative
文章经济	strongsubj	positive
文经武纬	strongsubj	positive
闻一知二	strongsubj	positive
闻风而兴	strongsubj	positive
问十道百	strongsubj	positive
问罪之师	strongsubj	positive
瓮尽杯乾	strongsubj	negative
握素披黄	strongsubj	positive
握发吐飧	strongsubj	positive
乌衣子弟	strongsubj	positive
呜呼噫嘻	strongsubj	negative
无人之境	strongsubj	negative
无父无君	strongsubj	negative
无可不可	strongsubj	positive
无可置辩	strongsubj	positive
无地自厝	strongsubj	negative
无名小辈	strongsubj	negative
无如之何	strongsubj	negative
无何有之乡	strongsubj	negative
无知妄作	strongsubj	negative
无所不尽其极	strongsubj	positive
无所重轻	strongsubj	negative
无风起浪	strongsubj	negative
无根之木，无源之水	midsubj	negative
无容身之地	strongsubj	negative
无偏无倚	strongsubj	positive
无恶不造	strongsubj	negative
叠韵	strongsubj	positive
丢面子	strongsubj	negative
洞房	strongsubj	positive
毒物	strongsubj	negative
端午	midsubj	0
对歌	strongsubj	positive
眼睁睁	midsubj	negative
佯攻	midsubj	0
老黄牛	strongsubj	positive
唠嗑	midsubj	positive
